Product Name,Category,Total Qty,Wishlists,Buy Price,Sell Price,URL,Barcode,Manufacturer SKU,ASIN,MSRP,Brand,Weight,Description,Max Qty,Domestic Only,Tax Exempt
Colossal Dreadmaw,Ixalan,60,0,0.00,0.25,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/colossal_dreadmaw/1534743,,,B075RH96K5,0.00,"",0.005,"",4,,false
Crash the Ramparts,Ixalan,60,0,0.00,0.25,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/crash_the_ramparts/1534753,,,B075RH941Z,0.00,"",0.005,"",4,,false
Crushing Canopy,Ixalan,60,0,0.00,0.25,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/crushing_canopy/1534763,,,B075RH1CP1,0.00,"",0.005,"",4,,false
Deathgorge Scavenger,Ixalan,19,0,0.00,0.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/deathgorge_scavenger/1534773,"","",B075RH6QFD,0.00,"",0.005,"",4,false,false
Deeproot Warrior,Ixalan,60,0,0.00,0.25,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/deeproot_warrior/1534783,,,B075RGR7VL,0.00,"",0.005,"",4,,false
Demolish,Ixalan,60,0,0.00,0.25,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/demolish/1534793,,,B075RGQS1Q,0.00,"",0.005,"",4,,false
Bonded Horncrest,Ixalan,12,0,0.00,0.50,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/bonded_horncrest/1534803,,,B075RJQ71F,0.00,"",0.005,"",4,,false
Contract Killing,Ixalan,60,0,0.00,0.25,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/contract_killing/1534813,,,B075RJ5Y9S,0.00,"",0.005,"",4,,false
Costly Plunder,Ixalan,59,0,0.00,0.25,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/costly_plunder/1534823,,,B075RQ27LN,0.00,"",0.005,"",4,,false
Dark Nourishment,Ixalan,19,0,0.00,0.50,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/dark_nourishment/1534833,,,B075RQZQX8,0.00,"",0.005,"",4,,false
Air Elemental - Foil,Ixalan,3,0,0.00,0.75,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/air_elemental__foil/1534843,,,B075RL2WVK,0.00,"",0.005,"",4,,false
Ancient Brontodon - Foil,Ixalan,3,0,0.00,0.50,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/ancient_brontodon__foil/1534853,,,B075RRPG5T,0.00,"",0.005,"",4,,false
Anointed Deacon - Foil,Ixalan,3,0,0.00,0.50,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/anointed_deacon__foil/1534863,,,B075RSDC73,0.00,"",0.005,"",4,,false
Atzocan Archer - Foil,Ixalan,4,0,0.00,0.75,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/atzocan_archer__foil/1534873,,,B075S1C74Z,0.00,"",0.005,"",4,,false
Axis of Mortality - Foil,Ixalan,0,0,0.00,1.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/axis_of_mortality__foil/1534883,,,B075RXSM9D,0.00,"",0.005,"",4,,false
Bishop's Soldier - Foil,Ixalan,2,0,0.00,0.50,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/bishops_soldier__foil/1534893,,,B075RPDWZT,0.00,"",0.005,"",4,,false
Blight Keeper - Foil,Ixalan,1,0,0.00,0.50,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/blight_keeper__foil/1534903,,,B075RJT24X,0.00,"",0.005,"",4,,false
Blinding Fog - Foil,Ixalan,1,0,0.00,0.50,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/blinding_fog__foil/1534913,,,B075RR1J8F,0.00,"",0.005,"",4,,false
Blossom Dryad - Foil,Ixalan,4,0,0.00,0.50,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/blossom_dryad__foil/1534923,,,B075RQ7K46,0.00,"",0.005,"",4,,false
Brazen Buccaneers - Foil,Ixalan,2,0,0.00,0.50,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/brazen_buccaneers__foil/1534933,,,B075RWKLBC,0.00,"",0.005,"",4,,false
Bright Reprisal - Foil,Ixalan,3,0,0.00,0.75,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/bright_reprisal__foil/1534943,,,B075RLH5F7,0.00,"",0.005,"",4,,false
Cancel - Foil,Ixalan,2,0,0.00,0.50,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/cancel__foil/1534953,,,B075RL8DNX,0.00,"",0.005,"",4,,false
Cobbled Wings - Foil,Ixalan,1,0,0.00,0.50,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/cobbled_wings__foil/1534963,,,B075RLKHHY,0.00,"",0.005,"",4,,false
Colossal Dreadmaw - Foil,Ixalan,1,0,0.00,0.50,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/colossal_dreadmaw__foil/1534973,,,B075RJT5HQ,0.00,"",0.005,"",4,,false
Crash the Ramparts - Foil,Ixalan,3,0,0.00,0.50,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/crash_the_ramparts__foil/1534983,,,B075RL4CQJ,0.00,"",0.005,"",4,,false
Crushing Canopy - Foil,Ixalan,1,0,0.00,0.50,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/crushing_canopy__foil/1534993,,,B075RLQ478,0.00,"",0.005,"",4,,false
Deathgorge Scavenger - Foil,Ixalan,6,0,0.00,2.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/deathgorge_scavenger__foil/1535003,,,B075RS5KS4,0.00,"",0.005,"",4,,false
Deeproot Warrior - Foil,Ixalan,3,0,0.00,0.50,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/deeproot_warrior__foil/1535013,,,B075RSVZ3H,0.00,"",0.005,"",4,,false
Demolish - Foil,Ixalan,2,0,0.00,0.50,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/demolish__foil/1535023,,,B075RRDB4R,0.00,"",0.005,"",4,,false
Herald of Secret Streams,Ixalan,9,0,0.00,1.49,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/herald_of_secret_streams/1535033,,,B075NSNJZN,0.00,"",0.005,"",4,,false
Dragonskull Summit,Ixalan,42,0,0.00,3.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/dragonskull_summit/1535043,"","",B075NTRZ54,0.00,"",0.005,"",4,false,false
Dreamcaller Siren,Ixalan,31,0,0.00,0.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/dreamcaller_siren/1535053,,,B075NS8BC9,0.00,"",0.005,"",4,,false
